Cell Line	Cosmic_ID	Cancer Type	Tissue	MS-HL
NCI-H1581	908471	lung	lung_NSCLC_large_cell	1
NCI-H1573	908472	lung	lung_NSCLC_adenocarcinoma	0
NCI-H1666	908473	lung	lung_NSCLC_adenocarcinoma	0
NCI-H1703	908474	lung	lung_NSCLC_adenocarcinoma	0
NCI-H1755	908475	lung	lung_NSCLC_adenocarcinoma	0
NCI-H1993	908476	lung	lung_NSCLC_adenocarcinoma	0
NCI-H2081	908480	lung	lung_small_cell_carcinoma	0
NCI-H2196	908481	lung	lung_small_cell_carcinoma	0
NCI-H630	908482	digestive_system	large_intestine	1
NCI-H524	908483	lung	lung_small_cell_carcinoma	1
NCI-H748	909194	lung	lung_small_cell_carcinoma	0
ONS-76	909248	nervous_system	medulloblastoma	0
OPM-2	909249	blood	Myeloma	0
OS-RC-2	909250	kidney	kidney	0
P12-ICHIKAWA	909251	blood	lymphoblastic_T_cell_leukaemia	0
P30-OHK	909252	blood	lymphoblastic_leukemia	1
P31-FUJ	909253	blood	acute_myeloid_leukaemia	1
PA-1	909255	urogenital_system	ovary	0
OCUB-M	909256	breast	breast	0
OC-314	909257	urogenital_system	ovary	1
PF-382	909260	blood	lymphoblastic_T_cell_leukaemia	0
Raji	909262	blood	Burkitt_lymphoma	0
RCM-1	909263	digestive_system	large_intestine	1
RD	909264	soft_tissue	rhabdomyosarcoma	1
REH	909696	blood	B_cell_leukemia	1
RKO	909698	digestive_system	large_intestine	1
RMG-I	909699	urogenital_system	ovary	0
RPMI-2650	909700	aero_digestive_tract	head_and_neck	0
RPMI-6666	909701	blood	Hodgkin_lymphoma	0
RPMI-8402	909702	blood	lymphoblastic_T_cell_leukaemia	0
RS4-11	909703	blood	leukemia	1
RT-112	909704	urogenital_system	Bladder	0
RVH-421	909706	skin	melanoma	0
Saos-2	909707	bone	osteosarcoma	0
SAS	909708	aero_digestive_tract	head_and_neck	1
SCC-9	909709	aero_digestive_tract	head_and_neck	0
SCH	909711	digestive_system	stomach	0
SF126	909712	nervous_system	glioma	0
SH-4	909713	skin	melanoma	0
SIG-M5	909715	blood	acute_myeloid_leukaemia	0
SJRH30	909716	soft_tissue	rhabdomyosarcoma	0
SJSA-1	909717	bone	bone_other	1
SK-CO-1	909718	digestive_system	large_intestine	0
SK-HEP-1	909719	digestive_system	liver	0
SK-LMS-1	909720	soft_tissue	soft_tissue_other	0
SK-LU-1	909721	lung	lung_NSCLC_adenocarcinoma	0
SKM-1	909722	blood	haematopoietic_neoplasm_other	0
SK-MEL-1	909723	skin	melanoma	0
SK-MEL-3	909724	skin	melanoma	0
SK-MEL-24	909725	skin	melanoma	0
SK-MEL-30	909726	skin	melanoma	0
SK-MES-1	909728	lung	lung_NSCLC_squamous_cell_carcinoma	0
SK-MG-1	909729	nervous_system	glioma	0
SK-NEP-1	909730	kidney	kidney	0
SK-PN-DW	909731	bone	ewings_sarcoma	0
SK-UT-1	909732	soft_tissue	soft_tissue_other	1
SNG-M	909735	urogenital_system	endometrium	1
SNU-387	909736	digestive_system	liver	0
SNU-423	909737	digestive_system	liver	0
SNU-449	909738	digestive_system	liver	0
SNU-475	909739	digestive_system	liver	0
SNU-C2B	909740	digestive_system	large_intestine	1
SU-DHL-1	909742	blood	anaplastic_large_cell_lymphoma	0
SUP-T1	909743	blood	lymphoblastic_T_cell_leukaemia	0
SW13	909744	kidney	adrenal_gland	0
SW1088	909745	nervous_system	glioma	0
SW1116	909746	digestive_system	large_intestine	0
SW1417	909747	digestive_system	large_intestine	1
SW1463	909748	digestive_system	large_intestine	0
SW1710	909749	urogenital_system	Bladder	0
SW1783	909750	nervous_system	glioma	0
SW48	909751	digestive_system	large_intestine	1
SW626	909753	urogenital_system	ovary	0
SW684	909754	soft_tissue	fibrosarcoma	0
SW837	909755	digestive_system	large_intestine	0
SW872	909756	soft_tissue	soft_tissue_other	0
SW948	909757	digestive_system	large_intestine	0
SW962	909758	urogenital_system	urogenital_system_other	0
SW982	909759	soft_tissue	soft_tissue_other	0
T84	909761	digestive_system	large_intestine	0
TALL-1	909762	blood	lymphoblastic_T_cell_leukaemia	0
TGBC1TKB	909769	digestive_system	biliary_tract	0
TGBC11TKB	909770	digestive_system	stomach	1
THP-1	909771	blood	acute_myeloid_leukaemia	0
TUR	909773	blood	B_cell_lymphoma	1
TYK-nu	909774	urogenital_system	ovary	0
